2026-09-08 09:29:07.614,189061,0.950
2026-09-08 09:29:31.299,189060,0.950
2026-09-08 09:29:35.095,189059,0.950
2026-09-08 09:29:35.950,189058,0.950
2026-09-08 09:29:36.800,189057,0.950
2026-09-08 09:29:40.688,189056,0.950
2026-09-08 09:29:58.576,189055,0.950
2026-09-08 09:30:03.087,189031,0.950
2026-09-08 09:30:18.251,189030,0.950
2026-09-08 09:37:39.293,189072,0.950
2026-09-08 09:37:43.764,189073,0.950
2026-09-08 09:37:50.418,189074,0.950
2026-09-08 09:37:58.966,189075,0.950
2026-09-08 09:38:02.974,189092,0.950
2026-09-08 09:38:08.645,189093,0.950
2026-09-08 09:38:18.569,189094,0.950
2026-09-08 09:38:25.928,189095,0.950
2026-09-08 09:38:27.621,189096,0.950
2026-09-08 09:38:35.148,189097,0.950
2026-09-08 09:38:39.391,189098,0.950
2026-09-08 09:38:47.380,189099,0.950
2026-09-08 09:38:52.810,189100,0.950
2026-09-08 09:39:01.451,189101,0.950
2026-09-08 09:39:03.258,189111,0.950
2026-09-08 09:39:07.353,189112,0.950
2026-09-08 09:39:18.178,189113,0.950
2026-09-08 09:39:21.131,189114,0.950
2026-09-08 09:39:24.012,189115,0.950
2026-09-08 09:52:18.425,189659,0.950
2026-09-08 09:52:18.931,189660,0.950
2026-09-08 09:52:20.748,189661,0.950
2026-09-08 09:52:24.487,189662,0.950
2026-09-08 09:52:27.780,189663,0.950
2026-09-08 09:52:31.132,189664,0.950
2026-09-08 09:52:32.735,189665,0.950
2026-09-08 09:52:35.622,189666,0.950
2026-09-08 09:52:36.893,189667,0.950
2026-09-08 09:52:39.827,189668,0.950
2026-09-08 09:52:43.232,189669,0.950
2026-09-08 09:52:45.278,189670,0.950
2026-09-08 09:52:45.703,189671,0.950
2026-09-08 09:52:48.180,189672,0.950
2026-09-08 09:52:48.648,189673,0.950
2026-09-08 09:52:49.554,189674,0.950
2026-09-08 09:52:50.382,189675,0.950
2026-09-08 09:52:52.139,189676,0.950
2026-09-08 09:52:54.215,189677,0.950
2026-09-08 09:52:56.881,189678,0.950
2026-09-08 09:52:58.997,189679,0.950
2026-09-08 09:53:02.708,189700,0.950
2026-09-08 09:53:03.148,189703,0.950
2026-09-08 10:50:34.098,190337,0.950
2026-09-08 10:56:31.141,191221,0.950
2026-09-08 10:56:32.853,191222,0.950
2026-09-08 10:56:40.022,191223,0.950
2026-09-08 10:56:44.446,191224,0.950
2026-09-08 10:56:48.434,191225,0.950
2026-09-08 10:56:58.486,191226,0.950
2026-09-08 10:57:02.874,191259,0.950
2026-09-08 10:57:14.675,191260,0.950
2026-09-08 10:57:19.226,191261,0.950
2026-09-08 10:57:28.609,191262,0.950
2026-09-08 10:57:35.181,191263,0.950
2026-09-08 10:57:37.713,191264,0.950
2026-09-08 10:57:39.006,191265,0.950
2026-09-08 10:57:41.633,191266,0.950
2026-09-08 10:57:57.023,191267,0.950
2026-09-08 10:58:03.338,191301,0.950
2026-09-08 10:58:14.654,191302,0.950
2026-09-08 11:00:49.481,191353,0.950
2026-09-08 11:01:01.835,191393,0.950
2026-09-08 11:01:03.270,191353,0.950
2026-09-08 11:01:05.441,191366,0.950
2026-09-08 11:01:21.628,191379,0.950
2026-09-08 11:01:26.791,191381,0.950
2026-09-08 11:01:31.183,191382,0.950
2026-09-08 11:01:31.653,191355,0.950
2026-09-08 11:01:40.140,191382,0.950
2026-09-08 11:01:44.351,191383,0.950
2026-09-08 11:01:46.962,191384,0.950
2026-09-08 11:01:51.236,191385,0.950
