timestamp,symbol,bid,ask,last,volume,price_theoretical
2026-08-16T20:32:51.113700,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T20:32:53.158437,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T20:32:54.792322,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T20:32:55.806069,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T20:32:57.165123,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T20:32:58.892819,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T20:33:00.508557,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T20:33:02.911303,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T20:33:04.566546,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T21:15:56.187343,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T21:15:57.223094,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T21:15:58.223822,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T21:15:59.224425,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T21:16:00.225055,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T21:16:01.225812,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T21:16:02.253510,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T21:16:03.254062,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T21:16:04.254541,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T21:16:05.255509,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T21:16:06.256126,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T21:16:07.257115,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T21:16:08.258028,WINV26,169985.0,170000.0,169975.0,21631,0.0
2026-08-16T21:16:09.258841,WINV26,169985.0,170000.0,169975.0,21631,0.0
