Data_Hora,Ativo,Fechamento_Anterior,Preco_Ajuste_Referencia,Ultimo_Preco_Leilao,Bid,Ask,Gap_vs_Fechamento_Pts,Gap_vs_Ajuste_Pts
2026-08-18 07:15:35,WIN$,169975.0,169904.0,130960.0,0.0,0.0,-39015,-38944
2026-08-18 07:16:59,WIN$,169975.0,169904.0,130960.0,0.0,0.0,-39015,-38944
2026-08-18 07:24:22,WIN$,169975.0,169904.0,130960.0,0.0,0.0,-39015,-38944
